SSID,BSSID,Channel,PWR,Distance,Auth,WPS,Manufacturer,Uptime,Beacons,Timestamp
Hidden,58:be:72:7e:a0:c4,11,-74,50.12,WPA2,N/A,Unknown,5d 5h 58m,00001a002f480000588a5c6a0000000000029409a000b600000080000000ffffffffffff58be727ea0c458be727ea0c4503c...,2026-04-10T04:00:21.536338
AASR,48:4c:29:a6:b5:88,9,-70,31.62,WPA,N/A,Unknown,6d 17h 33m,00001a002f4800008957e4960000000000029909a000ba00000080000000ffffffffffff484c29a6b588484c29a6b5881080...,2026-04-10T04:00:21.874358
Hidden,58:be:72:7e:a0:c4,11,-68,25.12,WPA2,N/A,Unknown,5d 5h 58m,00001a002f480000f861646a0000000000029909a000bc00000080000000ffffffffffff58be727ea0c458be727ea0c4a03c...,2026-04-10T04:00:22.051148
Nora,58:be:72:7f:6c:5c,11,-78,79.43,WPA,N/A,Unknown,6d 12h 51m,00001a002f48000040eeec960000000000029e09a000b200000080000000ffffffffffff58be727f6c5c58be727f6c5c7066...,2026-04-10T04:00:22.428265
AASR,48:4c:29:a6:b5:88,9,-72,39.81,WPA,N/A,Unknown,6d 17h 33m,00001a002f480000179a0a7a0000000000029e09a000b800000080000000ffffffffffff484c29a6b588484c29a6b5887080...,2026-04-10T04:00:22.475262
Nora,58:be:72:7f:6c:5c,11,-76,63.1,WPA,N/A,Unknown,6d 12h 51m,00001a002f480000c1e76b6a0000000000029e09a000b400000080000000ffffffffffff58be727f6c5c58be727f6c5c8066...,2026-04-10T04:00:22.537310
Hidden,58:be:72:7e:a0:c4,11,-70,31.62,WPA2,N/A,Unknown,5d 5h 58m,00001a002f48000036a40b7a0000000000029e09a000ba00000080000000ffffffffffff58be727ea0c458be727ea0c4f03c...,2026-04-10T04:00:22.559161
AASR,48:4c:29:a6:b5:88,9,-76,63.1,WPA,N/A,Unknown,6d 17h 33m,00001a002f4800007347ef960000000000029e09a000b400000080000000ffffffffffff484c29a6b588484c29a6b5888080...,2026-04-10T04:00:22.577379
Hidden,58:be:72:7e:a0:c4,11,-70,31.62,WPA2,N/A,Unknown,5d 5h 58m,00001a002f480000558a756a000000000002a809a000ba00000080000000ffffffffffff58be727ea0c458be727ea0c4503d...,2026-04-10T04:00:23.172117
Hidden,58:be:72:7e:a0:c4,11,-74,50.12,WPA2,N/A,Unknown,5d 5h 58m,00001a002f480000e1b7f996000000000002a809a000b600000080000000ffffffffffff58be727ea0c458be727ea0c4603d...,2026-04-10T04:00:23.269903
Hidden,58:be:72:7e:a0:c4,11,-72,39.81,WPA2,N/A,Unknown,5d 5h 58m,00001a002f480000dad6fc96000000000002a809a000b800000080000000ffffffffffff58be727ea0c458be727ea0c4803d...,2026-04-10T04:00:23.476829
WE_EDF20C,20:e8:82:ed:f2:0c,1,-58,7.94,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 13m,00001a002f4800003eab00970000000000026c09a000c600000080000000ffffffffffff20e882edf20c20e882edf20c20c4...,2026-04-10T04:00:23.733799
IL-410TD-A_A26DF,24:79:ef:2a:26:e0,1,-78,79.43,WPA,N/A,Unknown,0d 7h 9m,00001a002f48000087a44edc0000000000026c09a000b200000080000000ffffffffffff2479ef2a26e02479ef2a26e02017...,2026-04-10T04:00:23.748856
Hidden,60:9b:b4:2b:50:3c,2,-74,50.12,WPA2,N/A,Unknown,1d 12h 26m,00001a002f4800006ccf83000000000000026c09a000b600000080000000ffffffffffff609bb42b503c609bb42b503c3073...,2026-04-10T04:00:23.804266
WE_EDF20C,20:e8:82:ed:f2:0c,1,-58,7.94,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 13m,00001a002f48000057ef448a0000000000026c09a000c600000080000000ffffffffffff20e882edf20c20e882edf20c40c4...,2026-04-10T04:00:23.832029
IL-410TD-A_A26DF,24:79:ef:2a:26:e0,1,-80,100.0,WPA,N/A,Unknown,0d 7h 9m,00001a002f4800009f5353dc0000000000026c09a000b000000080000000ffffffffffff2479ef2a26e02479ef2a26e05017...,2026-04-10T04:00:24.050365
WE_EDF20C,20:e8:82:ed:f2:0c,1,-58,7.94,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 13m,00001a002f480000dedd88000000000000026c09a000c600000080000000ffffffffffff20e882edf20c20e882edf20ca0c4...,2026-04-10T04:00:24.141669
IL-410TD-A_A26DF,24:79:ef:2a:26:e0,1,-78,79.43,WPA,N/A,Unknown,0d 7h 9m,00001a002f480000a1e354dc0000000000026c09a000b200000080000000ffffffffffff2479ef2a26e02479ef2a26e06017...,2026-04-10T04:00:24.168898
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 13m,00001a002f480000e16d8a000000000000027109a000c000000080000000ffffffffffff20e882edf20c20e882edf20cb0c4...,2026-04-10T04:00:24.230097
